Date/Time,Lat,Lon,Base
9/11/2014 23:57,40.7024,-73.9187,B02764
9/11/2014 23:56,40.7937,-73.9958,B02764
9/11/2014 23:55,40.7926,-73.9451,B02764
9/11/2014 23:55,40.7422,-73.9587,B02764
9/11/2014 23:53,40.6576,-73.8941,B02764
9/11/2014 23:53,40.7261,-74.0525,B02764
9/11/2014 23:53,40.6768,-73.9916,B02764
9/11/2014 23:51,40.7124,-73.936,B02764
9/11/2014 23:47,40.7159,-73.9497,B02764
9/11/2014 23:45,40.6976,-73.9438,B02764
9/11/2014 23:44,40.723,-74.0346,B02764
9/11/2014 23:37,40.7108,-74.0064,B02764
9/11/2014 23:34,40.7531,-73.9896,B02764
9/11/2014 23:30,40.7118,-73.9655,B02764
9/11/2014 23:28,40.8629,-73.919,B02764
9/11/2014 23:26,40.8291,-73.9469,B02764
9/11/2014 23:24,40.7079,-74.0156,B02764
9/11/2014 23:23,40.7711,-73.7352,B02764
9/11/2014 23:22,40.7173,-73.742,B02764
9/11/2014 23:21,40.7839,-73.9801,B02764
9/11/2014 23:17,40.728,-74.0032,B02764
9/11/2014 23:13,40.7588,-73.9235,B02764
9/11/2014 23:13,40.7056,-73.9323,B02764
9/11/2014 23:13,40.6872,-73.9742,B02764
9/11/2014 23:11,40.6419,-73.7872,B02764
9/11/2014 23:08,40.8193,-73.9165,B02764
9/11/2014 23:07,40.7626,-73.9271,B02764
9/11/2014 23:05,40.6806,-73.9697,B02764
9/11/2014 23:03,40.8416,-73.9393,B02764
9/11/2014 23:03,40.6867,-73.9823,B02764
9/11/2014 23:03,40.6895,-73.8159,B02764
9/11/2014 23:02,40.7144,-73.9923,B02764
9/11/2014 23:00,40.5837,-73.9449,B02764
9/11/2014 22:52,40.682,-73.929,B02764
9/11/2014 22:52,40.6859,-73.8211,B02764
9/11/2014 22:51,40.6232,-73.9293,B02764
9/11/2014 22:43,40.7495,-73.9903,B02764
9/11/2014 22:38,40.7366,-73.9911,B02764
9/11/2014 22:37,40.7706,-73.982,B02764
9/11/2014 22:36,40.7615,-74.0209,B02764
9/11/2014 22:35,40.7129,-73.9589,B02764
9/11/2014 22:33,40.7174,-73.9491,B02764
9/11/2014 22:25,40.715,-73.9401,B02764
9/11/2014 22:23,40.7594,-73.9948,B02764
9/11/2014 22:22,40.7366,-74.0288,B02764
