,cluster,name,country.etc,pop
170,170,Cordoba,Argentina,1442911
171,171,Altaj,Mongolia,18908
172,172,Altamira,Brazil,72674
173,173,Tampa,USA,328578
174,174,Altay,China,141575
175,175,Altoona,USA,46442
176,176,Sao Luis,Brazil,935083
177,177,Alyangula,Australia,1286
178,178,Am Timan,Chad,29533
179,179,Amahai,Indonesia,48255
180,180,Hao,French Polynesia,1211
181,181,Amarillo,USA,183295
182,182,Mutuaura,French Polynesia,286
183,183,Colombo,Sri Lanka,649496
184,184,Antananarivo,Madagascar,1463754
185,185,Ambanja,Madagascar,31399
186,186,Mahajanga,Madagascar,158841
187,187,Toamasina,Madagascar,212544
188,188,Ambikapur,India,74578
189,189,Ambilobe,Madagascar,15007
190,190,Ambovombe,Madagascar,68698
191,191,Ambon,Indonesia,367509
192,192,Ambunti,Papua New Guinea,2137
193,193,Des Moines,USA,192050
194,194,Bangkok,Thailand,4935988
195,195,Barabai,Indonesia,64249
196,196,Amuri,Cook Islands,278
197,197,Komsomolsk-na-Amure,Russia,273203
198,198,Fakarava,French Polynesia,879
199,199,El Tigre,Venezuela,155452
200,200,Iraklion,Greece,138749
201,201,Srinagar,India,996400
202,202,Goiania,Brazil,1188787
203,203,Farah,Afghanistan,44741
204,204,Rairua,French Polynesia,485
205,205,Vaitape,French Polynesia,4802
206,206,Shanghai,China,15017783
207,207,Anchorage,USA,279428
208,208,Santiago,Chile,4893495
209,209,Vallenar,Chile,45255
210,210,Antalaha,Madagascar,34979
211,211,Indianapolis,USA,771725
212,212,Andevoranto,Madagascar,10773
213,213,Nassau,Bahamas,231519
214,214,Ebeye,Marshall Islands,9891
215,215,Irkutsk,Russia,584442
216,216,Angoche,Mozambique,76412
217,217,Wewak,Papua New Guinea,17870
218,218,Angra,Azores,11975
219,219,Huaihua,China,127705
220,220,Chongqing,China,4133663
221,221,Ankang,China,133223
222,222,Ankazoabo,Madagascar,26692
223,223,Georgetown,Guyana,236878
224,224,Mashhad,Iran,2387734
225,225,Anshun,China,371158
226,226,Arrecife,Canary Islands,54696
227,227,Antofagasta,Chile,314606
228,228,Willemstad,Netherlands Antilles,98339
229,229,Antsiranana,Madagascar,84965
230,230,Antsohihy,Madagascar,21918
231,231,Jolo,Philippines,103907
232,232,Novokuznetsk,Russia,536257
233,233,Aouzou,Chad,1922
234,234,Murmansk,Russia,313699
235,235,Minneapolis,USA,364726
236,236,Chicago,USA,2830144
237,237,Aqjawajat,Mauritania,11156
238,238,Aqtobe,Kazakhstan,263762
239,239,Aquidauana,Brazil,35569
240,240,Ara'ar,Saudi Arabia,151881
241,241,Aracuai,Brazil,22306
242,242,Araguaina,Brazil,117106
243,243,Uberlandia,Brazil,580576
244,244,Arakan,Myanmar,60809
245,245,Aralsk,Kazakhstan,33315
246,246,Walvis Bay,Namibia,54861
247,247,Aranos,Namibia,3500
248,248,Araouane,Mali,4014
249,249,Melbourne,Australia,3780871
250,250,Araripina,Brazil,39342
251,251,Arawa,Papua New Guinea,40257
252,252,Arbar,Marshall Islands,31
253,253,Yazd,Iran,505037
254,254,Kashan,Iran,310777
255,255,Dunqula,Sudan,19518
256,256,Tacna,Peru,289609
257,257,Chaguanas,Trinidad and Tobago,73141
258,258,Aripuana,Brazil,29464
259,259,Ariquemes,Brazil,59205
260,260,Arkalik,Kazakhstan,53489
261,261,Arkhangelsk,Russia,340837
262,262,Arlit,Niger,87819
263,263,Armidale,Australia,22746
264,264,Saint John's,Canada,109555
265,265,Ponta Delgada,Azores,20053
266,266,Arsenyev,Russia,61196
267,267,Freetown,Bahamas,4128
268,268,Artigas,Uruguay,42126
269,269,Denver,USA,556575
270,270,Arvajheer,Mongolia,20940
271,271,Asau,Tuvalu,633
272,272,Dubti,Ethiopia,27459
273,273,Ascension,Bolivia,14978
274,274,Nuevo Casas Grandes,Mexico,51531
275,275,Asheville,USA,68654
276,276,Asino,Russia,26742
277,277,Assiniboia,Canada,2282
278,278,Praia,Cape Verde,117342
279,279,Astrakhan,Russia,501970
280,280,Astrakhanka,Kazakhstan,6496
281,281,Narin,Kyrgyzstan,41670
282,282,Atafu,Tokelau,133
283,283,Nuuk,Greenland,15243
284,284,Atar,Mauritania,30897
285,285,Atasu,Kazakhstan,12906
286,286,Atbasar,Kazakhstan,34997
287,287,Atlanta,USA,424096
288,288,Cairns,Australia,161302
289,289,Ati,Chad,24615
290,290,Atikokan,Canada,3808
291,291,Atiu,Cook Islands,156
292,292,Cape Town,South Africa,3546429
293,293,Villazon,Bolivia,30725
294,294,Birkirkara,Malta,21713
295,295,Attawapiskat,Canada,1383
296,296,Atuona,French Polynesia,1788
297,297,Atyrau,Kazakhstan,146862
298,298,Seattle,USA,570430
299,299,Montgomery,USA,197653
300,300,Augusta-Richmond,USA,192376
301,301,Honiara,Solomon Islands,57410
302,302,Aur,Marshall Islands,331
303,303,San Antonio,USA,1278171
304,304,Bunbury,Australia,26488
305,305,Avarua,Cook Islands,13645
306,306,Moerai,French Polynesia,1052
307,307,Phoenix,USA,1450884
308,308,Awbari,Libya,44500
309,309,Herat,Afghanistan,278209
310,310,Awjilah,Libya,6790
311,311,Awlaf,Algeria,25915
312,312,Ayagoz,Kazakhstan,33180
313,313,Udachnyy,Russia,15114
