ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-SOU,SOU,SOU,B,99,West Bound,52,,UK,UK,23072.62647,1
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,19,18,Australia - New South Wales,Australia - Queensland,445.8006284,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,11,,Australia - New South Wales,Australia - Queensland,806.6818883,1
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,28,12,Australia - New South Wales,Australia - Queensland,294.684643,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,20,,Australia - New South Wales,China - Southern,1512.410686,2
SOU-SYD,SOU,SYD,I,44,West Bound,31,16,UK,Australia - New South Wales,3968.871127,1
SOU-AKL,SOU,AKL,B,40,West Bound,33,32,UK,New Zealand,5007.42499,2
SOU-AKL,SOU,AKL,I,40,West Bound,28,17,UK,New Zealand,4206.951373,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,40,,China - Southern,UK,4623.144592,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,71,47,Singapore,UK,4631.38167,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,59,42,Singapore,UK,6125.946306,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,15,,Australia - New South Wales,China - Southern,1491.757649,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,13,,Australia - New South Wales,China - Southern,1724.903743,2
SFO-AKL,SFO,AKL,O,16,South Pacific,7,,USA - West Coast,New Zealand,673.4606932,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,,UK,USA - West Coast,1812.421508,2
SOU-SOU,SOU,SOU,B,99,West Bound,54,15,UK,UK,13327.97679,2
SOU-SOU,SOU,SOU,B,99,West Bound,53,,UK,UK,16709.41801,2
DXB-SOU,DXB,SOU,B,19,Middle East,23,,UAE,UK,1497.678308,2
SOU-SOU,SOU,SOU,O,99,West Bound,40,,UK,UK,13223.06092,2
