ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-SYD,SOU,SYD,B,44,West Bound,35,,UK,Australia - New South Wales,7801.10882,2
SOU-SYD,SOU,SYD,O,44,West Bound,31,31,UK,Australia - New South Wales,2701.772057,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,26,25,Australia - New South Wales,UK,7824.667876,2
SOU-SOU,SOU,SOU,O,99,West Bound,47,,UK,UK,12972.57721,2
DXB-SOU,DXB,SOU,B,19,Middle East,77,,UAE,UK,2965.85434,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,29,29,Australia - New South Wales,China - Southern,3067.003751,2
SFO-SYD,SFO,SYD,B,20,South Pacific,69,,USA - West Coast,Australia - New South Wales,2923.515519,2
SFO-SYD,SFO,SYD,B,20,South Pacific,57,,USA - West Coast,Australia - New South Wales,3513.689238,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,6,Australia - Queensland,China - Southern,1467.417326,2
DXB-SOU,DXB,SOU,B,19,Middle East,14,,UAE,UK,2447.598149,2
SOU-AKL,SOU,AKL,O,40,West Bound,40,,UK,New Zealand,5255.862829,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,66,17,China - Southern,UAE,3027.646343,2
SOU-SYD,SOU,SYD,I,44,West Bound,32,,UK,Australia - New South Wales,2439.459723,2
SOU-SYD,SOU,SYD,B,44,West Bound,9,,UK,Australia - New South Wales,8862.053261,3
DXB-SOU,DXB,SOU,B,19,Middle East,55,,UAE,UK,2889.994328,2
SOU-BNE,SOU,BNE,B,47,West Bound,45,,UK,Australia - Queensland,8467.84215,2
SOU-BNE,SOU,BNE,B,47,West Bound,44,,UK,Australia - Queensland,7952.356062,2
SOU-BNE,SOU,BNE,B,47,West Bound,42,41,UK,Australia - Queensland,8087.244534,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,58,,USA - West Coast,China - Southern,6357.014801,2
