"","id","Hours","Day","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Disdain","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"1",1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4",1,14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"5",1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6",1,15,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"7",1,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"8",8,8,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",8,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"10",8,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11",8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",8,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",8,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14",8,17,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",15,11,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"17",15,14,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"18",15,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19",15,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20",15,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21",15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",15,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23",23,8,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24",23,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",23,22,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,7,7,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"27",26,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28",26,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29",26,11,4,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
